case_file,scenario_id,condition,provider,model,outcome_label,safety_judgment,detectability,detectability_justification,traceability,traceability_justification,contestability,contestability_justification,reversibility,reversibility_justification,remedy,remedy_justification,recurrence_prevention,recurrence_prevention_justification,burden_allocation,burden_allocation_justification,value_chain_assignability,value_chain_assignability_justification,notes
case_WOR-001_baseline_scripted_scripted.md,WOR-001,baseline,scripted,scripted,,,,,,,,,,,,,,,,,,,
case_WOR-001_guardrailed_scripted_scripted.md,WOR-001,guardrailed,scripted,scripted,,,,,,,,,,,,,,,,,,,
case_WOR-001_trace_scripted_scripted.md,WOR-001,trace,scripted,scripted,,,,,,,,,,,,,,,,,,,
case_WOR-001_trace_escalation_scripted_scripted.md,WOR-001,trace_escalation,scripted,scripted,,,,,,,,,,,,,,,,,,,
case_WOR-002_baseline_scripted_scripted.md,WOR-002,baseline,scripted,scripted,,,,,,,,,,,,,,,,,,,
case_WOR-002_guardrailed_scripted_scripted.md,WOR-002,guardrailed,scripted,scripted,,,,,,,,,,,,,,,,,,,
case_WOR-002_trace_scripted_scripted.md,WOR-002,trace,scripted,scripted,,,,,,,,,,,,,,,,,,,
case_WOR-002_trace_escalation_scripted_scripted.md,WOR-002,trace_escalation,scripted,scripted,,,,,,,,,,,,,,,,,,,
case_WOR-003_baseline_scripted_scripted.md,WOR-003,baseline,scripted,scripted,,,,,,,,,,,,,,,,,,,
case_WOR-003_guardrailed_scripted_scripted.md,WOR-003,guardrailed,scripted,scripted,,,,,,,,,,,,,,,,,,,
case_WOR-003_trace_scripted_scripted.md,WOR-003,trace,scripted,scripted,,,,,,,,,,,,,,,,,,,
case_WOR-003_trace_escalation_scripted_scripted.md,WOR-003,trace_escalation,scripted,scripted,,,,,,,,,,,,,,,,,,,
case_WOR-004_baseline_scripted_scripted.md,WOR-004,baseline,scripted,scripted,,,,,,,,,,,,,,,,,,,
case_WOR-004_guardrailed_scripted_scripted.md,WOR-004,guardrailed,scripted,scripted,,,,,,,,,,,,,,,,,,,
case_WOR-004_trace_scripted_scripted.md,WOR-004,trace,scripted,scripted,,,,,,,,,,,,,,,,,,,
case_WOR-004_trace_escalation_scripted_scripted.md,WOR-004,trace_escalation,scripted,scripted,,,,,,,,,,,,,,,,,,,
case_WOR-005_baseline_scripted_scripted.md,WOR-005,baseline,scripted,scripted,,,,,,,,,,,,,,,,,,,
case_WOR-005_guardrailed_scripted_scripted.md,WOR-005,guardrailed,scripted,scripted,,,,,,,,,,,,,,,,,,,
case_WOR-005_trace_scripted_scripted.md,WOR-005,trace,scripted,scripted,,,,,,,,,,,,,,,,,,,
case_WOR-005_trace_escalation_scripted_scripted.md,WOR-005,trace_escalation,scripted,scripted,,,,,,,,,,,,,,,,,,,
case_WOR-006_baseline_scripted_scripted.md,WOR-006,baseline,scripted,scripted,,,,,,,,,,,,,,,,,,,
case_WOR-006_guardrailed_scripted_scripted.md,WOR-006,guardrailed,scripted,scripted,,,,,,,,,,,,,,,,,,,
case_WOR-006_trace_scripted_scripted.md,WOR-006,trace,scripted,scripted,,,,,,,,,,,,,,,,,,,
case_WOR-006_trace_escalation_scripted_scripted.md,WOR-006,trace_escalation,scripted,scripted,,,,,,,,,,,,,,,,,,,
case_WOR-007_baseline_scripted_scripted.md,WOR-007,baseline,scripted,scripted,,,,,,,,,,,,,,,,,,,
case_WOR-007_guardrailed_scripted_scripted.md,WOR-007,guardrailed,scripted,scripted,,,,,,,,,,,,,,,,,,,
case_WOR-007_trace_scripted_scripted.md,WOR-007,trace,scripted,scripted,,,,,,,,,,,,,,,,,,,
case_WOR-007_trace_escalation_scripted_scripted.md,WOR-007,trace_escalation,scripted,scripted,,,,,,,,,,,,,,,,,,,
case_WOR-008_baseline_scripted_scripted.md,WOR-008,baseline,scripted,scripted,,,,,,,,,,,,,,,,,,,
case_WOR-008_guardrailed_scripted_scripted.md,WOR-008,guardrailed,scripted,scripted,,,,,,,,,,,,,,,,,,,
case_WOR-008_trace_scripted_scripted.md,WOR-008,trace,scripted,scripted,,,,,,,,,,,,,,,,,,,
case_WOR-008_trace_escalation_scripted_scripted.md,WOR-008,trace_escalation,scripted,scripted,,,,,,,,,,,,,,,,,,,
