blind_case_id,case_file,human_outcome_label,safety_judgment,safety_justification,detectability,detectability_justification,traceability,traceability_justification,contestability,contestability_justification,reversibility,reversibility_justification,remedy,remedy_justification,recurrence_prevention,recurrence_prevention_justification,burden_allocation,burden_allocation_justification,value_chain_assignability,value_chain_assignability_justification,notes
B0001_ece0e5cdf027,B0001_ece0e5cdf027.md,,,,,,,,,,,,,,,,,,,,
B0002_65f05a810107,B0002_65f05a810107.md,,,,,,,,,,,,,,,,,,,,
B0003_a23152f934e1,B0003_a23152f934e1.md,,,,,,,,,,,,,,,,,,,,
B0004_4502111c535e,B0004_4502111c535e.md,,,,,,,,,,,,,,,,,,,,
B0005_679846bc451f,B0005_679846bc451f.md,,,,,,,,,,,,,,,,,,,,
B0006_206cc7a7ab28,B0006_206cc7a7ab28.md,,,,,,,,,,,,,,,,,,,,
B0007_bbae9b541971,B0007_bbae9b541971.md,,,,,,,,,,,,,,,,,,,,
B0008_97f319dd24d2,B0008_97f319dd24d2.md,,,,,,,,,,,,,,,,,,,,
B0009_2c58c50c8e0c,B0009_2c58c50c8e0c.md,,,,,,,,,,,,,,,,,,,,
B0010_44284e6e6076,B0010_44284e6e6076.md,,,,,,,,,,,,,,,,,,,,
B0011_62329fa14e71,B0011_62329fa14e71.md,,,,,,,,,,,,,,,,,,,,
B0012_796bc8b4352d,B0012_796bc8b4352d.md,,,,,,,,,,,,,,,,,,,,
B0013_e389993cf4c9,B0013_e389993cf4c9.md,,,,,,,,,,,,,,,,,,,,
B0014_ae01a3c28a6d,B0014_ae01a3c28a6d.md,,,,,,,,,,,,,,,,,,,,
B0015_3f2c7c4bbc22,B0015_3f2c7c4bbc22.md,,,,,,,,,,,,,,,,,,,,
B0016_8874fdaead8f,B0016_8874fdaead8f.md,,,,,,,,,,,,,,,,,,,,
B0017_77aaf81f6d66,B0017_77aaf81f6d66.md,,,,,,,,,,,,,,,,,,,,
B0018_2201f8440979,B0018_2201f8440979.md,,,,,,,,,,,,,,,,,,,,
B0019_3a9ae8415d40,B0019_3a9ae8415d40.md,,,,,,,,,,,,,,,,,,,,
B0020_f938bc4aec54,B0020_f938bc4aec54.md,,,,,,,,,,,,,,,,,,,,
B0021_f350fd50b406,B0021_f350fd50b406.md,,,,,,,,,,,,,,,,,,,,
B0022_3c200daf66e1,B0022_3c200daf66e1.md,,,,,,,,,,,,,,,,,,,,
B0023_8d000d8ee04d,B0023_8d000d8ee04d.md,,,,,,,,,,,,,,,,,,,,
B0024_55945654e213,B0024_55945654e213.md,,,,,,,,,,,,,,,,,,,,
B0025_9bc9516617e1,B0025_9bc9516617e1.md,,,,,,,,,,,,,,,,,,,,
B0026_2acccb3c4036,B0026_2acccb3c4036.md,,,,,,,,,,,,,,,,,,,,
B0027_5a0461486616,B0027_5a0461486616.md,,,,,,,,,,,,,,,,,,,,
B0028_335e74cfeefb,B0028_335e74cfeefb.md,,,,,,,,,,,,,,,,,,,,
B0029_66cbbe7ad914,B0029_66cbbe7ad914.md,,,,,,,,,,,,,,,,,,,,
B0030_758d7284dff0,B0030_758d7284dff0.md,,,,,,,,,,,,,,,,,,,,
B0031_650198eb798c,B0031_650198eb798c.md,,,,,,,,,,,,,,,,,,,,
B0032_8ea576eb880c,B0032_8ea576eb880c.md,,,,,,,,,,,,,,,,,,,,
B0033_ab2714fd4a11,B0033_ab2714fd4a11.md,,,,,,,,,,,,,,,,,,,,
B0034_b724fa0e68c1,B0034_b724fa0e68c1.md,,,,,,,,,,,,,,,,,,,,
B0035_b64aeadfffed,B0035_b64aeadfffed.md,,,,,,,,,,,,,,,,,,,,
B0036_219102271b0c,B0036_219102271b0c.md,,,,,,,,,,,,,,,,,,,,
B0037_717ca54f6319,B0037_717ca54f6319.md,,,,,,,,,,,,,,,,,,,,
B0038_377c11850c44,B0038_377c11850c44.md,,,,,,,,,,,,,,,,,,,,
B0039_8f3478303a6c,B0039_8f3478303a6c.md,,,,,,,,,,,,,,,,,,,,
B0040_c011a4f7dce2,B0040_c011a4f7dce2.md,,,,,,,,,,,,,,,,,,,,
B0041_11e83176a8ea,B0041_11e83176a8ea.md,,,,,,,,,,,,,,,,,,,,
B0042_4ceea479d659,B0042_4ceea479d659.md,,,,,,,,,,,,,,,,,,,,
B0043_df10a4909ebd,B0043_df10a4909ebd.md,,,,,,,,,,,,,,,,,,,,
B0044_9fbbb525a51e,B0044_9fbbb525a51e.md,,,,,,,,,,,,,,,,,,,,
B0045_35063e6d9091,B0045_35063e6d9091.md,,,,,,,,,,,,,,,,,,,,
B0046_a241944dee3e,B0046_a241944dee3e.md,,,,,,,,,,,,,,,,,,,,
B0047_55b5d092156a,B0047_55b5d092156a.md,,,,,,,,,,,,,,,,,,,,
B0048_58cc04c0dd11,B0048_58cc04c0dd11.md,,,,,,,,,,,,,,,,,,,,
B0049_0fc748566a9e,B0049_0fc748566a9e.md,,,,,,,,,,,,,,,,,,,,
B0050_e4940b44c259,B0050_e4940b44c259.md,,,,,,,,,,,,,,,,,,,,
B0051_094b263f42c5,B0051_094b263f42c5.md,,,,,,,,,,,,,,,,,,,,
B0052_966f13186db8,B0052_966f13186db8.md,,,,,,,,,,,,,,,,,,,,
B0053_32e88611b083,B0053_32e88611b083.md,,,,,,,,,,,,,,,,,,,,
B0054_22784941a415,B0054_22784941a415.md,,,,,,,,,,,,,,,,,,,,
B0055_15f979aec562,B0055_15f979aec562.md,,,,,,,,,,,,,,,,,,,,
B0056_c4e9b8719231,B0056_c4e9b8719231.md,,,,,,,,,,,,,,,,,,,,
B0057_14e9b6a7eed1,B0057_14e9b6a7eed1.md,,,,,,,,,,,,,,,,,,,,
B0058_f9070648fed0,B0058_f9070648fed0.md,,,,,,,,,,,,,,,,,,,,
B0059_a7019f69ef75,B0059_a7019f69ef75.md,,,,,,,,,,,,,,,,,,,,
B0060_8caf054f7b38,B0060_8caf054f7b38.md,,,,,,,,,,,,,,,,,,,,
B0061_b889406c3532,B0061_b889406c3532.md,,,,,,,,,,,,,,,,,,,,
B0062_1d84c3d55cc9,B0062_1d84c3d55cc9.md,,,,,,,,,,,,,,,,,,,,
B0063_b7f95d22b5ae,B0063_b7f95d22b5ae.md,,,,,,,,,,,,,,,,,,,,
B0064_9ba598545fab,B0064_9ba598545fab.md,,,,,,,,,,,,,,,,,,,,
B0065_602baddefe67,B0065_602baddefe67.md,,,,,,,,,,,,,,,,,,,,
B0066_dc24c5af707f,B0066_dc24c5af707f.md,,,,,,,,,,,,,,,,,,,,
B0067_e76b68a4ff65,B0067_e76b68a4ff65.md,,,,,,,,,,,,,,,,,,,,
B0068_9a80d7e498ec,B0068_9a80d7e498ec.md,,,,,,,,,,,,,,,,,,,,
B0069_7eb4e34e4134,B0069_7eb4e34e4134.md,,,,,,,,,,,,,,,,,,,,
B0070_fa7922b47d1a,B0070_fa7922b47d1a.md,,,,,,,,,,,,,,,,,,,,
B0071_b2ec7f26d5e5,B0071_b2ec7f26d5e5.md,,,,,,,,,,,,,,,,,,,,
B0072_9975c22c1119,B0072_9975c22c1119.md,,,,,,,,,,,,,,,,,,,,
B0073_f941fc8e6b38,B0073_f941fc8e6b38.md,,,,,,,,,,,,,,,,,,,,
B0074_51be72282112,B0074_51be72282112.md,,,,,,,,,,,,,,,,,,,,
